# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
99 2.6403451e+00 1.6990744e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.3683004e+00 2.1088409e+02 2.2369627e+01
100 2.6379948e+00 1.7654178e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.4840002e+00 2.1880431e+02 2.2594932e+01
101 2.5808601e+00 1.8258997e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.3234692e+00 2.1412225e+02 2.2817285e+01
102 2.4847326e+00 1.7971245e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1038184e+00 2.2372528e+02 2.3039633e+01
103 2.4953816e+00 1.8451933e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1505878e+00 2.2528992e+02 2.3263440e+01
104 2.4104204e+00 1.8878583e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.2035916e+00 2.2768279e+02 2.3486661e+01
105 2.3598018e+00 1.9000632e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1182821e+00 2.3524237e+02 2.3711705e+01
106 2.3676405e+00 2.0068962e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1691816e+00 2.4733406e+02 2.3946890e+01
107 2.3485811e+00 2.0781015e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1125009e+00 2.4751685e+02 2.4168301e+01
108 2.3321152e+00 2.0456078e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.9956739e+00 2.4209056e+02 2.4390817e+01
109 2.3206360e+00 1.9831013e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.0467305e+00 2.3042697e+02 2.4611284e+01
110 2.3198030e+00 1.8993617e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.9649765e+00 2.2587828e+02 2.4831373e+01
111 2.2547152e+00 1.7642448e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.8728144e+00 2.1215755e+02 2.5060995e+01
112 2.2933528e+00 1.6762404e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.0001240e+00 2.0316951e+02 2.5281566e+01
113 2.2500741e+00 1.6204985e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.6717846e+00 2.0923531e+02 2.5501993e+01
