INFO:root:[Val - epoch 26]	 Lc: 1.49e+00, Accuracy: 7.73e-01, F1-score: 7.73e-01, 
INFO:root:[Train - epoch 27]	 Lc: 7.36e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 27]	 Lc: 1.61e+00, Accuracy: 7.65e-01, F1-score: 7.65e-01, 
INFO:root:[Train - epoch 28]	 Lc: 7.51e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 28]	 Lc: 1.81e+00, Accuracy: 7.59e-01, F1-score: 7.59e-01, 
INFO:root:[Train - epoch 29]	 Lc: 5.64e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 29]	 Lc: 1.56e+00, Accuracy: 7.67e-01, F1-score: 7.67e-01, 
INFO:root:[Train - epoch 30]	 Lc: 5.22e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 30]	 Lc: 1.62e+00, Accuracy: 7.64e-01, F1-score: 7.64e-01, 
INFO:root:[Train - epoch 31]	 Lc: 4.79e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 31]	 Lc: 1.61e+00, Accuracy: 7.65e-01, F1-score: 7.65e-01, 
INFO:root:[Train - epoch 32]	 Lc: 5.76e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 32]	 Lc: 1.51e+00, Accuracy: 7.65e-01, F1-score: 7.65e-01, 
INFO:root:[Train - epoch 33]	 Lc: 7.40e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 33]	 Lc: 1.48e+00, Accuracy: 7.66e-01, F1-score: 7.66e-01, 
INFO:root:[Train - epoch 34]	 Lc: 6.31e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 34]	 Lc: 1.55e+00, Accuracy: 7.64e-01, F1-score: 7.64e-01, 
INFO:root:[Train - epoch 35]	 Lc: 6.79e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 35]	 Lc: 1.61e+00, Accuracy: 7.60e-01, F1-score: 7.60e-01, 
INFO:root:[Train - epoch 36]	 Lc: 6.53e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 36]	 Lc: 1.60e+00, Accuracy: 7.61e-01, F1-score: 7.61e-01, 
INFO:root:[Train - epoch 37]	 Lc: 7.37e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 37]	 Lc: 1.57e+00, Accuracy: 7.62e-01, F1-score: 7.62e-01, 
INFO:root:[Train - epoch 38]	 Lc: 1.79e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 38]	 Lc: 1.58e+00, Accuracy: 7.59e-01, F1-score: 7.59e-01, 
INFO:root:[Train - epoch 39]	 Lc: 7.80e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 39]	 Lc: 1.63e+00, Accuracy: 7.55e-01, F1-score: 7.55e-01, 
INFO:root:[Train - epoch 40]	 Lc: 5.36e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 40]	 Lc: 1.62e+00, Accuracy: 7.55e-01, F1-score: 7.55e-01, 
INFO:root:[Train - epoch 41]	 Lc: 5.19e-04, Accuracy: 1.00e+00, 
