# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
86 7.0882764e+00 1.1522639e+02 1.1551672e+01 1.9618011e-01 2.4141584e+01 6.9876351e+00 1.0264627e+02 3.9211938e+01
87 6.8879113e+00 1.1998208e+02 1.4092176e+01 3.5568416e-01 2.3604160e+01 6.4993234e+00 1.0353904e+02 3.9626652e+01
88 6.5882354e+00 1.1701170e+02 1.5040816e+01 2.3626186e-01 2.4429308e+01 6.1625624e+00 1.0578082e+02 4.0036110e+01
89 6.4473863e+00 1.2066498e+02 1.5801180e+01 1.2726605e-01 2.4358934e+01 6.2690067e+00 1.0887855e+02 4.0442691e+01
90 6.3048458e+00 1.2730162e+02 1.5905836e+01 1.1306650e-01 2.4562038e+01 5.8523569e+00 1.1928667e+02 4.0856854e+01
91 6.1764355e+00 1.3265488e+02 1.5524023e+01 1.0452293e-01 2.4585217e+01 5.8417621e+00 1.2491255e+02 4.1264848e+01
92 6.1234241e+00 1.3879434e+02 1.5000959e+01 1.0678938e-01 2.4514639e+01 5.7010527e+00 1.3103249e+02 4.1679431e+01
93 5.9818492e+00 1.4526849e+02 1.4065291e+01 1.1144206e-01 2.4496740e+01 5.6180429e+00 1.3733421e+02 4.2084338e+01
94 5.8748794e+00 1.5048016e+02 1.3108171e+01 9.8731063e-02 2.4699221e+01 5.6476603e+00 1.3982036e+02 4.2498671e+01
95 5.9566441e+00 1.5235368e+02 1.2677197e+01 9.9848583e-02 2.4744963e+01 5.7823324e+00 1.3914732e+02 4.2907626e+01
96 5.7960148e+00 1.4705029e+02 1.2440209e+01 1.0230783e-01 2.4726852e+01 5.5899959e+00 1.3827391e+02 4.3315942e+01
97 5.6744642e+00 1.5169814e+02 1.1980329e+01 9.6892565e-02 2.4941704e+01 5.2978945e+00 1.4200487e+02 4.3725411e+01
98 5.5569801e+00 1.5965915e+02 1.1636310e+01 9.9096909e-02 2.4743954e+01 5.3281326e+00 1.4676643e+02 4.4144596e+01
