INFO:root:[Train - epoch 38]	 Lc: 1.62e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 38]	 Lc: 6.15e-01, Accuracy: 8.40e-01, F1-score: 8.40e-01, 
INFO:root:[Train - epoch 39]	 Lc: 1.87e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 39]	 Lc: 5.64e-01, Accuracy: 8.49e-01, F1-score: 8.49e-01, 
INFO:root:[Train - epoch 40]	 Lc: 1.95e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 40]	 Lc: 5.68e-01, Accuracy: 8.42e-01, F1-score: 8.42e-01, 
INFO:root:[Train - epoch 41]	 Lc: 1.78e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 41]	 Lc: 5.51e-01, Accuracy: 8.48e-01, F1-score: 8.48e-01, 
INFO:root:[Train - epoch 42]	 Lc: 1.74e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 42]	 Lc: 5.55e-01, Accuracy: 8.48e-01, F1-score: 8.48e-01, 
INFO:root:[Train - epoch 43]	 Lc: 1.50e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 43]	 Lc: 5.66e-01, Accuracy: 8.44e-01, F1-score: 8.44e-01, 
INFO:root:[Train - epoch 44]	 Lc: 1.47e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 44]	 Lc: 5.41e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 45]	 Lc: 1.39e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 45]	 Lc: 5.55e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 46]	 Lc: 1.57e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 46]	 Lc: 5.62e-01, Accuracy: 8.45e-01, F1-score: 8.45e-01, 
INFO:root:[Train - epoch 47]	 Lc: 1.59e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 47]	 Lc: 6.00e-01, Accuracy: 8.42e-01, F1-score: 8.42e-01, 
INFO:root:[Train - epoch 48]	 Lc: 1.80e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 48]	 Lc: 5.52e-01, Accuracy: 8.48e-01, F1-score: 8.48e-01, 
INFO:root:[Train - epoch 49]	 Lc: 2.17e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 49]	 Lc: 5.27e-01, Accuracy: 8.49e-01, F1-score: 8.49e-01, 
INFO:root:[Train - epoch 50]	 Lc: 1.83e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 50]	 Lc: 5.02e-01, Accuracy: 8.52e-01, F1-score: 8.52e-01, 
INFO:root:Best epoch: 19, best loss: 0.40929073218086665
